sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
 19	iː	130544.977	130614.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1677	1677	phone	phone	 700	 700	SEGMENT	 5757034	 5760120	44100	130579.977	 35.00000	0.5	299.5	2262.5	2768.5	3720.5	77.00886	tiiru	mark01vox_ker	130394.977	130704.977	0.5967742
 20	iː	132334.977	132424.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1702	1702	phone	phone	 725	 725	SEGMENT	 5835973	 5839941	44100	132379.977	 45.00000	0.5	289.0	2272.5	2990.5	3738.5	75.65310	giidə	mark01vox_ker	132254.977	132514.977	0.4807692
 21	i	134364.977	134444.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1719	1719	phone	phone	 742	 742	SEGMENT	 5925496	 5929023	44100	134404.977	 40.00000	0.5	308.5	2323.0	3002.5	3753.0	76.96435	hiti	mark01vox_ker	134324.977	134524.977	0.4000000
 22	i	134484.977	134524.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1721	1721	phone	phone	 744	 744	SEGMENT	 5930788	 5932551	44100	134504.977	 20.00000	0.5	369.5	1767.0	2564.0	3592.0	74.65934	hiti	mark01vox_ker	134324.977	134524.977	0.9000000
 23	iː	135714.977	135794.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1734	1734	phone	phone	 757	 757	SEGMENT	 5985031	 5988558	44100	135754.977	 40.00000	0.5	264.5	2336.0	3171.5	3777.0	73.14022	giidə	mark01vox_ker	135634.977	135854.977	0.5454545
 24	i	144254.977	144324.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1803	1803	phone	phone	 826	 826	SEGMENT	 6361645	 6364731	44100	144289.977	 35.00000	0.5	307.5	2274.0	3054.5	3899.0	76.42315	digi	mark01vox_ker	144194.977	144384.977	0.5000000
 25	i	144354.977	144384.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1805	1805	phone	phone	 828	 828	SEGMENT	 6366055	 6367377	44100	144369.977	 15.00000	0.5	188.5	1266.5	2536.0	3851.0	46.17965	digi	mark01vox_ker	144194.977	144384.977	0.9210526
 26	i	148879.989	148929.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1834	1834	phone	phone	 857	 857	SEGMENT	 6565608	 6567812	44100	148904.989	 25.00000	0.5	428.5	2221.0	3282.0	3729.0	77.23863	minti	mark01vox_ker	148819.989	149099.989	0.3035714
 27	i	149069.989	149099.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1837	1837	phone	phone	 860	 860	SEGMENT	 6573987	 6575309	44100	149084.989	 15.00000	0.5	337.0	2078.0	2778.5	3801.5	77.84409	minti	mark01vox_ker	148819.989	149099.989	0.9464286
 28	iː	152289.989	152369.989	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1872	1872	phone	phone	 895	 895	SEGMENT	 6715989	 6719516	44100	152329.989	 40.00000	0.5	322.0	2200.5	2792.0	3714.0	77.16647	giidə	mark01vox_ker	152239.989	152449.966	0.4286177
